StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   193909,   1.11,   69.1,  -1.43,  -1.43,   1.98,    -.5,    162,     17,   1.52,   1.31,   1.27,    -.2,   -.71,   -.96,    .71,   55.4,   82.7,
       04,      00,   193910,    .99,   59.1,  -1.44,  -1.44,   -.46,   -.68,     27,    149,    -.1,    .54,    .47,    .31,   -.72,   -1.1,    .68,   45.2,   73.1,
       04,      00,   193911,    .46,   51.8,  -2.27,  -2.27,  -2.94,  -2.27,      5,    307,  -1.45,   -1.3,    -.8,   -.97,  -1.08,   -1.3,    .28,   37.9,   65.8,
       04,      00,   193912,   3.01,   47.3,  -2.53,  -2.53,  -1.48,  -2.53,      0,    435,   -.17,    -.9,   -.92,    -.7,  -1.03,  -1.22,    .01,   36.6,   58.1,
       04,      00,   194001,   7.05,   45.4,    .82,  -1.45,   2.46,   -.33,      0,    506,   1.09,    .69,    .11,     .2,    .18,   -.48,    .38,   37.4,   53.3,
       04,      00,   194002,   7.77,   46.5,   2.21,   2.21,   4.42,   2.21,      0,    449,   1.52,    1.6,   1.33,    .95,     .9,    .57,    .31,   38.3,   54.8,
       04,      00,   194003,   3.74,   51.7,   2.14,   2.14,    .48,   2.14,      1,    378,    .48,   1.34,   1.49,    .85,    .95,    .75,   -.17,   40.3,   63.1,
       04,      00,   194004,   1.24,   55.7,   -.27,   1.65,   -.81,   1.22,     10,    287,   -.15,    .28,   1.16,    .81,    .85,    .82,   -.23,   43.7,   67.7,
       04,      00,   194005,    .68,   64.6,   -.38,   1.34,   -.43,    .66,     56,    128,    -.1,   -.31,    .18,   1.11,    .82,    .79,   -.19,   50.4,   78.9,
       04,      00,   194006,    .13,   72.5,   -.81,    .73,  -1.41,   -.58,    132,     39,   -.69,   -.48,   -.48,   1.29,    .71,    .81,   -.18,     57,   87.9,
       04,      00,   194007,    .01,   73.7,  -1.38,  -1.38,  -1.94,  -1.38,    181,     10,  -1.98,  -1.39,   -.83,   1.02,    .74,    .78,   -.21,   58.2,   89.3,
       04,      00,   194008,    .02,   74.7,  -1.67,  -1.67,  -1.31,  -1.67,    197,      7,  -1.68,  -3.09,  -1.79,   -.04,   1.04,    .76,   -.21,   58.8,   90.7,
