StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       16,      00,   196911,   2.14,   55.8,  -2.35,  -2.35,  -2.07,  -2.35,     18,    272,   -.94,   -.65,  -1.09,  -1.71,   -.65,   -.68,    -.2,   42.6,     69,
       16,      00,   196912,   6.21,   50.7,  -2.07,  -2.07,     .1,  -1.96,      9,    421,    .56,   -.34,   -.33,   -.94,   -.71,    -.8,   -.45,   39.1,   62.2,
       16,      00,   197001,    2.3,   43.7,  -2.54,  -2.54,  -2.05,  -2.54,      8,    635,   -1.3,   -.54,     -1,  -1.55,  -1.48,   -.75,   -.75,     34,   53.3,
       16,      00,   197002,   3.11,   49.6,  -2.72,  -2.72,  -1.33,  -2.72,      7,    422,   -.74,  -1.58,   -.91,  -1.46,  -1.86,  -1.03,   -.76,     37,   62.1,
       16,      00,   197003,   5.31,   56.1,  -2.25,  -2.25,    .57,  -1.95,     25,    270,     .3,   -.38,  -1.03,   -.96,  -1.27,  -1.11,   -.61,   45.7,   66.5,
       16,      00,   197004,    2.7,   68.8,   -2.6,   -2.6,  -1.74,   -2.6,    155,     23,   -.88,   -.39,   -.76,  -1.18,  -1.59,  -1.59,   -.92,   58.6,     79,
       16,      00,   197005,   4.95,   72.6,   -2.4,   -2.4,   -.19,   -2.4,    248,      1,    .13,   -.47,   -.24,   -.78,  -1.27,   -1.6,   -.97,   61.5,   83.7,
       16,      00,   197006,   3.95,   78.5,  -2.21,  -2.21,   -.17,  -2.21,    407,      0,   -.21,    -.1,   -.55,  -1.06,  -1.06,  -1.31,   -.99,   68.3,   88.7,
       16,      00,   197007,   4.68,   80.5,  -2.16,  -2.16,   -.54,  -2.16,    484,      0,   -.46,   -.49,   -.32,   -.72,  -1.13,  -1.49,     -1,   70.3,   90.7,
       16,      00,   197008,   5.34,   81.6,    .21,  -1.73,    .62,  -1.39,    514,      0,    .46,    -.1,   -.23,   -.37,   -.78,   -1.2,   -.97,     72,   91.1,
       16,      00,   197009,   4.81,   79.1,    .26,  -1.47,    .24,   -.96,    427,      0,    .55,    .59,    .15,   -.38,   -.84,    -.9,   -.98,   69.4,   88.7,
       16,      00,   197010,      9,   65.1,   1.84,   1.84,    4.8,   1.84,    106,     73,   1.73,   1.56,   1.58,    .93,    .26,   -.24,   -.32,   54.3,   75.8,
       16,      00,   197011,   2.12,   53.4,   -.34,    1.3,  -1.03,    .74,      9,    337,   -.96,    .94,    .92,    .55,    .17,   -.23,   -.69,   41.3,   65.6,
       16,      00,   197012,   3.73,   55.5,   -.87,    .61,  -1.69,   -.79,     26,    296,    -.8,  -1.38,    .46,     .4,   -.13,   -.55,  -1.03,   44.5,   66.4,
       16,      00,   197101,   1.71,   50.9,  -1.75,  -1.75,   -2.9,  -1.75,     27,    432,   -1.7,  -1.86,  -1.83,   -.09,   -.35,   -.63,  -1.06,   40.6,   61.1,
       16,      00,   197102,   4.99,   51.5,  -1.49,  -1.49,    .24,   -1.3,     12,    366,    .25,     -1,  -1.33,   -.15,   -.31,   -.45,  -1.08,   39.5,   63.5,
       16,      00,   197103,   3.61,   55.8,  -1.63,  -1.63,    -.9,  -1.63,     23,    279,   -.53,   -.32,  -1.15,   -.48,   -.46,   -.68,   -1.3,   43.7,   67.8,
       16,      00,   197104,   1.37,   64.9,  -2.22,  -2.22,  -2.26,  -2.22,     80,     65,  -1.64,  -1.53,  -1.07,  -1.87,   -.74,   -.87,   -1.9,   52.9,     77,
       16,      00,   197105,   5.56,   70.9,  -1.86,  -1.86,     .4,  -1.61,    207,      6,    .36,    -.7,    -.9,  -1.49,   -.67,   -.76,  -1.73,   59.9,   81.9,
       16,      00,   197106,   3.32,   80.2,  -1.98,  -1.98,   -.95,  -1.98,    451,      0,   -.53,   -.11,    -.9,  -1.43,   -.88,    -.8,  -1.54,     69,   91.2,
       16,      00,   197107,   6.81,   81.2,    .36,  -1.42,   1.07,   -.86,    497,      0,    .72,    .04,    .21,   -.55,  -1.42,   -.53,  -1.52,   71.2,   91.2,
       16,      00,   197108,   4.45,   79.6,    .42,  -1.17,    .31,   -.42,    463,      0,   -.04,    .38,   -.06,   -.69,  -1.22,   -.62,  -1.38,   69.8,   89.4,
       16,      00,   197109,   7.67,   77.3,   1.47,   1.47,   3.29,   1.47,    376,      0,   1.48,   1.17,   1.33,    .12,   -.49,   -.27,   -.88,   68.1,   86.4,
       16,      00,   197110,   1.92,   70.5,   1.01,   1.01,   -.94,    .43,    202,     22,   -.53,    .68,    .54,    .39,    -.3,  -1.08,   -.97,     59,     82,
       16,      00,   197111,   2.99,   56.8,    .59,    .59,   -.96,   -.54,     25,    244,   -.45,   -.83,    .21,    .05,   -.53,   -.98,    -.9,   44.1,   69.6,
       16,      00,   197112,   9.61,   58.3,   1.58,   1.58,   3.15,   1.58,     57,    217,    1.7,    .93,    .39,   1.12,    .21,   -.32,   -.62,   49.7,   66.9,
       16,      00,   197201,   7.88,   53.2,    2.1,    2.1,   2.06,    2.1,     46,    364,   1.16,   1.85,   1.29,   1.25,   1.14,    .41,   -.14,   42.8,   63.6,
       16,      00,   197202,   2.82,   52.6,    -.6,   1.28,  -1.81,    .39,     16,    336,    -.9,    .41,   1.26,    .99,    .78,    .12,   -.18,   41.3,   63.8,
       16,      00,   197203,   5.77,   60.2,   -.37,   1.32,    .53,    .64,     54,    185,     .5,   -.32,    .52,     .5,   1.19,    .37,   -.16,   48.1,   72.4,
       16,      00,   197204,   2.25,   67.5,   -.96,    .55,  -1.91,   -.96,    127,     35,  -1.12,   -.39,   -.84,    .35,    .48,    .48,   -.17,   56.3,   78.7,
       16,      00,   197205,   5.56,   72.7,   -.79,    .57,    .24,   -.76,    252,      2,    .36,   -.42,   -.09,    .68,    .58,    .45,   -.13,   61.4,   84.1,
       16,      00,   197206,   2.77,   79.9,  -1.14,  -1.14,   -1.3,  -1.14,    454,      0,   -.84,   -.27,   -.81,   -.22,   -.11,    .39,   -.23,   69.2,   90.7,
       16,      00,   197207,   6.16,   79.8,   -.78,   -.78,    .73,    -.2,    460,      0,    .37,   -.38,   -.08,   -.61,     .2,    .31,    -.1,   69.7,   89.8,
       16,      00,   197208,   3.22,   81.1,  -1.16,  -1.16,  -1.39,  -1.16,    505,      0,   -.86,   -.35,   -.77,   -.58,    .22,    .16,   -.27,   70.1,   92.2,
       16,      00,   197209,   4.51,   80.2,  -1.23,  -1.23,   -.57,  -1.23,    461,      0,    .42,   -.29,   -.13,   -.76,   -.29,   -.15,   -.28,   69.6,   90.7,
       16,      00,   197210,   4.89,   67.4,    .36,   -.75,   1.07,      0,    150,     45,     .7,    .63,    .19,    -.1,   -.54,    .19,   -.63,   56.5,   78.2,
       16,      00,   197211,   5.81,   53.2,    .79,    .79,   1.41,    .79,     11,    328,    .72,    .84,    .77,    .09,   -.09,    .51,   -.34,   44.4,   61.9,
       16,      00,   197212,   7.47,     50,   1.37,   1.37,   1.99,   1.37,     11,    421,   1.04,    1.1,   1.16,    .86,    .06,    .27,    .01,   39.5,   60.3,
       16,      00,   197301,   5.11,   45.8,   1.29,   1.29,    .19,   1.29,     12,    568,    .13,     .7,    .84,    .66,    .43,   -.04,    .29,   36.2,   55.4,
       16,      00,   197302,   3.69,   49.1,     .9,     .9,   -.78,    .36,      6,    430,   -.41,    -.2,    .39,    .75,    .19,    .02,    .17,   38.5,   59.7,
