StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       21,      00,   196210,    .88,   48.2,   -.39,   2.36,  -1.17,   1.83,      1,    502,  -1.07,   -.51,   -.35,   1.04,    .94,    .81,   -.11,   37.3,   59.1,
       21,      00,   196211,    .41,   33.3,   -.76,   1.71,  -1.22,    .64,      0,    936,  -1.22,  -1.62,   -.97,   -.19,    .44,    .63,   -.26,   25.5,     41,
       21,      00,   196212,     .4,     15,   -.91,   1.31,   -.68,   -.04,      0,   1509,  -1.11,  -1.58,   -1.8,      0,     .4,    .48,   -.32,    5.6,   24.6,
       21,      00,   196301,    .31,    -.2,  -1.06,    .93,   -.75,   -.66,      0,   1987,  -1.37,  -1.65,  -1.73,  -1.09,     .4,    .37,   -.29,   -9.3,    8.8,
       21,      00,   196302,    .55,    8.9,   -.95,    .83,   -.01,   -.68,      0,   1535,    -.3,  -1.18,  -1.64,  -1.47,   -.53,    .13,    -.3,   -2.8,   20.6,
       21,      00,   196303,   1.21,   30.1,    .11,    .85,    .33,   -.47,      0,   1041,      0,   -.23,   -.87,  -2.17,   -.26,    .19,    -.3,   18.8,   41.5,
       21,      00,   196304,   2.54,     44,    .22,    .89,    .38,   -.26,      0,    600,     .6,     .4,    .24,  -1.02,   -.95,    .44,   -.25,   32.1,   55.9,
       21,      00,   196305,   3.23,   52.7,    .43,   1.03,    .68,     .1,     14,    372,    .08,    .33,    .29,   -.32,     -1,   -.38,   -.26,   40.9,   64.5,
       21,      00,   196306,   3.83,   67.1,    .12,    .65,   -.81,   -.43,    128,     58,   -.21,   -.14,    .07,   -.23,  -1.09,   -.27,    .24,   55.5,   78.6,
       21,      00,   196307,   4.62,   70.1,    .75,   1.24,   1.95,    .52,    194,     20,    .93,    .41,     .3,    .31,   -.34,   -.54,    .39,   58.6,   81.6,
       21,      00,   196308,   2.92,   66.2,   -.23,    .88,    -.7,      0,    105,     63,   -.43,     .3,    .07,    .14,   -.24,    -.7,    .57,   54.4,     78,
       21,      00,   196309,    2.4,   59.7,   -.53,   -.53,   -.98,   -.53,     26,    177,   -.34,   -.52,    .06,    .04,   -.18,   -.84,    .13,   48.1,   71.2,
       21,      00,   196310,    .87,   55.6,  -1.61,  -1.61,  -3.39,  -1.61,     19,    295,  -1.09,   -.95,  -1.06,   -.51,   -.41,   -.89,   -.09,   43.1,     68,
       21,      00,   196311,    .87,   33.9,  -2.12,  -2.12,  -2.04,  -2.12,      0,    891,   -.38,  -1.15,  -1.08,   -.68,   -.46,   -.75,   -.11,   24.5,   43.3,
       21,      00,   196312,    .73,    6.3,  -2.34,  -2.34,  -1.29,  -2.34,      0,   1790,   -.15,   -.49,  -1.08,    -.6,   -.48,   -.65,   -.13,   -2.4,     15,
       21,      00,   196401,    .45,     15,  -2.74,  -2.74,  -1.94,  -2.74,      0,   1498,   -.68,   -.62,   -.72,  -1.26,    -.7,   -.59,   -.17,    4.8,   25.1,
       21,      00,   196402,     .2,   17.5,  -3.29,  -3.29,  -2.48,  -3.29,      0,   1277,  -2.02,  -1.74,  -1.42,   -1.5,   -.97,   -.69,   -.39,    4.8,   30.1,
       21,      00,   196403,   1.08,   20.3,  -3.84,  -3.84,  -2.69,  -3.84,      0,   1314,   -.25,  -1.08,  -1.33,  -1.76,   -.99,   -.74,   -.38,    8.6,     32,
       21,      00,   196404,   3.47,   42.8,     .5,  -2.95,    1.5,  -2.31,      0,    634,   1.45,   1.11,    .62,    -.1,   -.91,   -.51,   -.07,   31.1,   54.4,
       21,      00,   196405,   3.12,   58.3,   -.24,  -2.88,   -.71,  -2.47,     44,    227,      0,    .81,    .67,    .13,   -.73,   -.57,   -.64,   45.3,   71.3,
       21,      00,   196406,   4.16,   64.1,   -.15,  -2.52,    .18,  -1.99,     91,     91,    .04,   -.02,    .58,    .11,   -.55,   -.49,   -.47,   51.9,   76.3,
       21,      00,   196407,   2.65,   71.5,   -.63,  -2.76,   -1.5,  -2.73,    237,     13,   -.81,   -.53,    -.5,   -.18,   -.47,     -1,     -1,     59,   83.9,
