CM*,Commodity,ID,Mine Name,Operator,State,Status,Type
M ,"Crushed, Broken Stone NEC  ",3503598,Newberg Rock & Dirt, Newberg Rock & Dirt  ,OR ,Active  ,Surface             
M ,Construction Sand and Gravel  ,4801789,AM Dirtworks & Aggregate Sales,AM Dirtworks & Aggregate Sales  ,ND ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,5001797,Bush Pilot,Dirt Company  ,AK ,Intermittent  ,Surface             
M ,"Crushed, Broken Limestone NEC  ",4608254,Hog Lick Quarry,Dirt Con  ,WV ,Temporarily Idled  ,Surface             
M ,Construction Sand and Gravel  ,2103723,Rock Lake Plant,Dirt Doctor Inc  ,MN ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,4104757,Portable #1,Dirt Works  ,TX ,Intermittent  ,Surface             
M ,"Sand, Common  ",0801306,River Road Pit,"Holley Dirt Company, Inc  ",FL ,Active  ,Surface             
M ,Construction Sand and Gravel  ,3901432,PORTABLE SCREENER,Krueger Brothers Gravel & Dirt  ,SD ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,3609624,Forbes Pit,M R Dirt  ,PA ,Intermittent  ,Surface             
M ,Dimension Stone NEC  ,3609931,Camptown Quarry,M.R. Dirt Inc.  ,PA ,Intermittent  ,Surface             
C ,Coal (Bituminous)  ,1519799,Fedscreek Surface,"P B Dirt Movers, Inc  ",KY ,Active  ,Surface             
C ,Coal (Bituminous)  ,4407296,Mine No. 6,PB Dirt Movers  ,VA ,Temporarily Idled  ,Underground         
C ,Coal (Bituminous)  ,4407270,Surface Mine No. 1,"PB Dirt Movers, Inc  ",VA ,NonProducing  ,Surface             
M ,Construction Sand and Gravel  ,0203332,Sandretto Drive,"Prescott Dirt, LLC  ",AZ ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,2901986,R D BLANKENSHIP DIRT WORK,R D Blankenship Dirt Work LLC  ,NM ,Active  ,Surface             
M ,Construction Sand and Gravel  ,4300768,Pettibone Jaw Crusher,SIMPSON DIRTWORX LLC  ,VT ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,4300776,Chieftan 1400,SIMPSON DIRTWORX LLC  ,VT ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,2302283,Mike's Money Pit,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent  ,Surface             
M ,Construction Sand and Gravel  ,2103518,Crusher,Vogt Dirt Service  ,MN ,Intermittent  ,Surface             
